project_id,deployment_id,image_id,sequence_id,filename,location,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,age,sex,animal_recognizable,individual_id,number_of_objects,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license,fuzzed,deployment_fuzzed
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,813db2ee-94cb-4728-b610-1dea985254d0,,IMG_0133.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/813db2ee-94cb-4728-b610-1dea985254d0,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:46:58,,,,,3,,,false,,,CC-BY-NC,true,false
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,7da41ba1-6abe-4e2f-bfe7-eeeb40c468ca,,IMG_0134.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/7da41ba1-6abe-4e2f-bfe7-eeeb40c468ca,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:46:59,,,,,3,,,false,,,CC-BY-NC,true,false
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,ffaf94dd-e970-436f-8237-6652e1d9f61b,,IMG_0136.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/ffaf94dd-e970-436f-8237-6652e1d9f61b,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:47:02,,,,,3,,,false,,,CC-BY-NC,true,false
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,503fcece-2c00-4828-8363-763b187c080b,,IMG_0137.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/503fcece-2c00-4828-8363-763b187c080b,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:47:03,,,,,2,,,false,,,CC-BY-NC,true,false
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,d7b18a37-8bf5-4f0d-aea0-29feb4ad54b4,,IMG_0143.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/d7b18a37-8bf5-4f0d-aea0-29feb4ad54b4,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:47:23,,,,,2,,,false,,,CC-BY-NC,true,false
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,a50f9bd0-5f42-4ae6-8449-4756d63db819,,IMG_0146.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/a50f9bd0-5f42-4ae6-8449-4756d63db819,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:47:27,,,,,1,,,false,,,CC-BY-NC,true,false
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,212924dd-89a2-470a-9591-678cefeb9164,,IMG_0154.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/212924dd-89a2-470a-9591-678cefeb9164,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:48:21,,,,,1,,,false,,,CC-BY-NC,true,false
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,fbbd21b6-1323-4d69-b662-33599eb6690e,,IMG_0160.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/fbbd21b6-1323-4d69-b662-33599eb6690e,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:48:38,,,,,1,,,false,,,CC-BY-NC,true,false
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,aca45b32-a5ba-4b9a-a0e7-dc5ce9c56370,,IMG_0161.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/aca45b32-a5ba-4b9a-a0e7-dc5ce9c56370,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:48:43,,,,,1,,,false,,,CC-BY-NC,true,false
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,6e7319a6-8623-4548-8587-13b6cf463c32,,IMG_0162.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/6e7319a6-8623-4548-8587-13b6cf463c32,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:48:43,,,,,1,,,false,,,CC-BY-NC,true,false
